                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66454,                0.65343,                0.86845,                0.69224,                0.42145,                0.45152,                0.31135,                0.87141,                0.69942,                0.96244,                0.00307,                0.00307,                0.00307
                     37,                0.68793,                0.65826,                0.87873,                0.80034,                0.41724,                0.45713,                0.30883,                 0.9432,                0.64635,                0.96622,               0.002872,               0.002872,               0.002872
                     38,                0.68789,                 0.6713,                0.87738,                0.61927,                 0.4436,                0.44305,                0.30426,                0.95272,                0.67025,                0.97517,               0.002674,               0.002674,               0.002674
                     39,                0.66462,                0.65664,                0.86071,                0.57875,                0.45094,                0.44362,                 0.3099,                0.92142,                 0.6212,                0.96034,               0.002476,               0.002476,               0.002476
                     40,                0.66817,                0.62293,                0.86942,                0.55088,                0.43905,                0.43091,                0.31313,                0.93416,                0.64881,                0.95356,               0.002278,               0.002278,               0.002278
                     41,                 0.6521,                0.61339,                0.85759,                0.51348,                0.43556,                0.42616,                0.30995,                0.92994,                0.63285,                0.95415,                0.00208,                0.00208,                0.00208
                     42,                0.61907,                0.60638,                0.84461,                0.87454,                 0.3791,                0.41792,                0.30893,                0.87401,                0.64758,                0.95431,               0.001882,               0.001882,               0.001882
                     43,                0.64156,                0.62168,                0.86959,                0.58536,                0.42123,                 0.4384,                0.31384,                0.82792,                0.65954,                0.95719,               0.001684,               0.001684,               0.001684
                     44,                0.58673,                0.57996,                 0.8429,                0.64046,                0.42474,                0.45302,                0.31298,                0.86549,                0.63973,                0.97875,               0.001486,               0.001486,               0.001486
                     45,                0.61064,                0.58831,                0.86059,                0.62542,                0.44314,                0.45048,                0.31465,                0.86808,                0.62121,                0.97766,               0.001288,               0.001288,               0.001288
                     46,                0.62353,                0.59763,                0.86379,                0.60155,                0.46692,                 0.4527,                0.30922,                 0.8372,                0.59427,                0.96521,                0.00109,                0.00109,                0.00109
                     47,                0.58572,                0.57039,                0.85413,                0.61244,                0.46692,                0.45934,                0.31374,                0.83151,                0.63189,                0.97157,               0.000892,               0.000892,               0.000892
                     48,                0.58212,                0.58289,                 0.8481,                0.62793,                0.45292,                0.46464,                0.31459,                0.89098,                0.61358,                 0.9883,               0.000694,               0.000694,               0.000694
                     49,                0.58115,                0.55785,                0.84673,                  0.666,                0.42845,                0.45582,                0.31653,                0.86601,                0.62994,                0.98432,               0.000496,               0.000496,               0.000496
